-35,943,343,143,290,133,-18,2,-6,3178,264,7044,1164,0.5744025111198425,0.07619427889585495,0.07023128867149353,0.8099100589752197
-28,924,348,143,290,133,-9,1,-1,3178,239,7012,1158,0.57221919298172,0.0735982358455658,0.07102442532777786,0.8116245865821838
-19,906,357,143,290,133,5,-1,-5,3178,213,6984,1145,0.5707330703735352,0.07042954117059708,0.07163038849830627,0.8128972053527832
-32,913,372,148,284,139,10,8,-10,3178,187,6963,1130,0.5680577158927917,0.06993361562490463,0.07155565172433853,0.8148192763328552
-37,919,334,148,284,139,41,5,-1,3178,200,6922,1130,0.5681437253952026,0.0703495517373085,0.07123342156410217,0.8147472739219666
-30,930,334,148,284,139,41,5,1,3178,184,6951,1131,0.5702470541000366,0.07027583569288254,0.07179535180330276,0.8132334351539612
-34,944,318,148,284,139,36,1,-6,3178,198,6981,1138,0.5724851489067078,0.07199474424123764,0.07119009643793106,0.8115622997283936
-55,950,318,148,284,139,17,5,-4,3178,215,7011,1144,0.5739754438400269,0.0747956782579422,0.07021008431911469,0.8103412389755249
-48,947,322,148,284,139,-5,14,7,3178,253,7020,1160,0.5742973685264587,0.07796970009803772,0.0705103948712349,0.8097877502441406
-48,950,324,148,284,139,-11,14,6,3178,269,7015,1189,0.5732473134994507,0.07992313802242279,0.07255427539348602,0.8101630806922913
-39,937,346,148,283,131,-19,16,10,3178,257,7019,1202,0.5725211501121521,0.07735230028629303,0.07273340970277786,0.8109110593795776
-36,902,363,148,283,131,3,10,9,3178,245,6985,1187,0.5699589848518372,0.07617148011922836,0.07239874452352524,0.81285560131073
-32,904,344,148,283,131,26,21,18,3178,238,6951,1172,0.568825900554657,0.07323174923658371,0.07199709117412567,0.8139535188674927
-33,915,342,148,283,131,34,15,15,3178,201,6954,1145,0.5705930590629578,0.07050487399101257,0.07111869752407074,0.8130307197570801
-47,937,335,148,283,131,46,14,12,3178,204,6984,1122,0.5728304386138916,0.07131687551736832,0.06902314722537994,0.8115656971931458
-29,952,306,148,283,131,40,9,15,3178,211,7019,1115,0.5755439400672913,0.07120391726493835,0.06874480843544006,0.809677243232727
-32,954,310,148,283,131,25,6,8,3178,207,7057,1114,0.5779688954353333,0.07144187390804291,0.06874483823776245,0.8079266548156738
-36,955,318,148,283,131,10,-3,-2,3178,207,7087,1120,0.5782139301300049,0.07234188169240952,0.06959255784749985,0.8076024055480957
-45,934,313,148,283,131,-8,1,0,3178,228,7067,1134,0.5770243406295776,0.07329665124416351,0.06941687315702438,0.8083805441856384
-37,919,351,148,283,131,-18,1,-2,3178,213,7050,1134,0.574339747428894,0.07221946865320206,0.06986834108829498,0.8103501796722412
-29,928,357,148,283,131,5,14,6,3178,213,7010,1129,0.571765661239624,0.07097501307725906,0.07004502415657043,0.8122629523277283
-28,928,341,148,283,131,20,16,0,3178,200,6975,1118,0.5716310739517212,0.06995361298322678,0.06878182291984558,0.8125517964363098
-36,927,345,148,283,131,24,27,4,3178,212,6971,1100,0.5701456069946289,0.07026293873786926,0.06634653359651566,0.8137724995613098
-37,936,339,147,281,138,43,18,17,3178,226,6951,1076,0.5687229037284851,0.06992049515247345,0.06683847308158875,0.8147528767585754
-32,940,326,147,281,138,43,14,9,3178,217,6957,1091,0.5709139108657837,0.07097860425710678,0.06736892461776733,0.8130834698677063
-34,937,310,147,281,138,27,10,12,3178,234,6981,1107,0.5716925263404846,0.07229658961296082,0.06863058358430862,0.812317967414856
-45,932,326,147,281,138,22,7,10,3178,235,6982,1129,0.5705491900444031,0.07523057609796524,0.06935303658246994,0.8127925395965576
-28,933,338,147,281,138,22,9,9,3178,241,6976,1154,0.5711480975151062,0.07513904571533203,0.07118600606918335,0.8122197985649109
-40,940,341,147,281,138,19,15,5,3178,241,6966,1170,0.5700271725654602,0.07634784281253815,0.07207921147346497,0.8128150701522827
-41,939,332,147,281,138,15,8,0,3178,235,6976,1180,0.5698654651641846,0.07668862491846085,0.07320407778024673,0.8127970099449158
-48,931,351,144,282,137,14,16,2,3178,260,6961,1191,0.5689755082130432,0.07902666181325912,0.07137355208396912,0.8133586049079895
-42,935,352,144,282,137,15,11,12,3178,269,6959,1187,0.5689307451248169,0.07706917822360992,0.07244489341974258,0.8134846091270447
-24,938,346,144,282,137,15,4,10,3178,230,6954,1185,0.5695140361785889,0.07342667132616043,0.07481452077627182,0.8131986260414124
-29,925,336,144,282,137,25,7,3,3178,183,6967,1184,0.5693851113319397,0.07254813611507416,0.07563699036836624,0.8132896423339844
-35,930,334,144,282,137,30,7,8,3178,191,6969,1186,0.5700550079345703,0.07409967482089996,0.0747000053524971,0.8127665519714355
-33,929,341,144,282,137,26,2,0,3178,206,6966,1188,0.569422721862793,0.07502216845750809,0.07403086870908737,0.8131874799728394
-38,939,344,144,282,137,31,7,5,3178,237,6953,1187,0.5686871409416199,0.07542771100997925,0.07316457480192184,0.8137452006340027
-33,946,333,138,286,131,37,13,8,3178,230,6960,1179,0.5713276863098145,0.07505040615797043,0.07262378931045532,0.8119739294052124
-48,951,321,138,286,131,30,21,9,3178,234,6997,1173,0.5736513733863831,0.07644963264465332,0.07114586234092712,0.8103346228599548
-42,946,313,138,286,131,14,6,12,3178,251,7028,1170,0.5761220455169678,0.07676396518945694,0.07062482088804245,0.8085954189300537
-32,948,317,138,286,131,-3,2,11,3178,242,7056,1168,0.5764794945716858,0.07465533167123795,0.07201172411441803,0.8084197640419006
-34,917,345,138,286,131,-3,-2,-6,3178,205,7047,1167,0.5740084648132324,0.07334727048873901,0.07256811857223511,0.8102464079856873
