-330,884,127,-277,128,176,9,-11,-19,2852,15452,-8332,3429,0.0754484236240387,0.6507505178451538,0.6680775880813599,0.3480321764945984
-349,895,138,-277,128,176,9,12,9,2852,15393,-8341,3414,0.07063783705234528,0.6488436460494995,0.6690332889556885,0.35075515508651733
-347,909,137,-277,128,176,16,3,4,2852,15396,-8351,3400,0.06990301609039307,0.6488476395606995,0.6696057319641113,0.3498019576072693
-333,893,142,-277,128,176,12,-4,2,2852,15413,-8350,3398,0.0710940882563591,0.6491389274597168,0.6698128581047058,0.3486242890357971
-354,901,145,-274,128,186,0,10,9,2852,15435,-8344,3456,0.07602536678314209,0.6479845643043518,0.6690020561218262,0.3512856364250183
-341,895,138,-274,128,186,6,14,-2,2852,15451,-8342,3528,0.08142830431461334,0.646885871887207,0.6682413220405579,0.3535313010215759
-356,900,140,-280,129,185,4,13,8,2852,15381,-8287,3538,0.07937922328710556,0.6477479934692383,0.6656082272529602,0.3573656976222992
-342,892,149,-280,129,185,4,16,-1,2852,15405,-8283,3517,0.07961198687553406,0.6485459804534912,0.6659639477729797,0.35520127415657043
-338,892,144,-280,129,185,15,20,13,2852,15393,-8312,3512,0.07806863635778427,0.647259533405304,0.6673495769500732,0.3552851676940918
-345,898,136,-279,137,184,19,13,10,2852,15397,-8304,3508,0.07820797711610794,0.6482222676277161,0.6665781140327454,0.3549472987651825
-346,888,148,-279,137,184,27,15,34,2852,15365,-8322,3520,0.07641994953155518,0.6456344723701477,0.6679370999336243,0.35748907923698425
-337,910,137,-277,129,180,22,-5,1,2852,15403,-8293,3492,0.07804062217473984,0.6494584083557129,0.6661670207977295,0.35349389910697937
-344,892,146,-277,129,180,5,18,18,2852,15415,-8292,3482,0.07754836976528168,0.6495710015296936,0.6664090752601624,0.3529408574104309
-350,893,143,-272,133,180,27,13,1,2852,15429,-8355,3506,0.07797989249229431,0.6462523937225342,0.6691859364509583,0.3536810874938965
-350,903,139,-272,133,180,21,1,20,2852,15414,-8315,3503,0.07843984663486481,0.6481640338897705,0.6670650839805603,0.3540865480899811
-333,898,139,-278,130,179,20,1,8,2852,15426,-8301,3502,0.07956971973180771,0.6494036316871643,0.6664196252822876,0.3527763783931732
-343,895,146,-278,130,179,22,13,20,2852,15403,-8299,3464,0.07569613307714462,0.6495121717453003,0.6669365763664246,0.35245275497436523
-336,887,149,-278,130,179,24,6,16,2852,15442,-8330,3454,0.07628360390663147,0.6489752531051636,0.6686151027679443,0.3501306474208832
-338,899,142,-280,132,187,35,17,10,2852,15467,-8343,3504,0.08082377165555954,0.6478501558303833,0.6684895157814026,0.3514285981655121
-341,887,163,-280,132,187,30,4,25,2852,15427,-8298,3517,0.08063679188489914,0.64837247133255,0.6665986776351929,0.3541005253791809
-378,893,147,-277,138,189,94,36,24,2852,15407,-8323,3558,0.08080294728279114,0.6457056999206543,0.6672834753990173,0.35762321949005127
-325,890,160,-277,138,189,146,-3,67,2852,15374,-8325,3591,0.08219441026449203,0.6430530548095703,0.6682637333869934,0.36024585366249084
-364,858,213,-275,139,182,277,85,26,2852,15430,-8395,3602,0.08279655873775482,0.6405628323554993,0.6713281273841858,0.3588488698005676
-381,855,178,-275,139,182,424,144,101,2852,15324,-8366,3557,0.07457069307565689,0.6407672762870789,0.6702370643615723,0.36230698227882385
