-409,861,49,-337,93,12,34,48,59,2963,15331,-9424,37,-0.16575221717357635,0.6599365472793579,0.7132923603057861,0.15763048827648163
-455,870,76,-337,93,12,51,64,41,2963,15307,-9444,61,-0.16751182079315186,0.6572030782699585,0.7145568132400513,0.16141922771930695
-424,856,66,-337,93,12,71,51,70,2963,15256,-9453,58,-0.17002184689044952,0.6567459106445312,0.7140244245529175,0.16300024092197418
-431,870,53,-340,93,2,91,1,19,2963,15286,-9391,-4,-0.17125870287418365,0.6619880795478821,0.7099539041519165,0.15821054577827454
-447,865,82,-340,93,2,90,21,17,2963,15316,-9399,-40,-0.17238688468933105,0.6608343124389648,0.7114270329475403,0.15517516434192657
-429,851,68,-340,96,-1,97,28,54,2963,15296,-9388,-88,-0.17555242776870728,0.662560224533081,0.7096024751663208,0.15258751809597015
-439,860,37,-340,96,-1,95,22,31,2963,15310,-9380,-120,-0.17658333480358124,0.6643348932266235,0.7081651091575623,0.15033972263336182
-422,863,53,-340,96,-1,81,29,50,2963,15311,-9358,-137,-0.17629340291023254,0.6656460165977478,0.7072609066963196,0.14913280308246613
-420,875,41,-340,96,-1,90,16,41,2963,15338,-9365,-133,-0.17455361783504486,0.6661105155944824,0.7075973153114319,0.14750105142593384
-432,872,58,-337,93,1,102,13,17,2963,15370,-9354,-129,-0.17260631918907166,0.6662613153457642,0.7079618573188782,0.14736157655715942
-442,854,49,-337,93,1,106,45,51,2963,15324,-9369,-102,-0.17471443116664886,0.6650411486625671,0.7077895402908325,0.15116970241069794
-425,874,37,-337,93,1,95,22,58,2963,15318,-9314,-116,-0.1738879531621933,0.6686643958091736,0.70469731092453,0.15058505535125732
-419,875,35,-330,100,1,110,33,35,2963,15397,-9288,-106,-0.1687246412038803,0.6708900332450867,0.704473078250885,0.14757613837718964
-445,870,32,-330,100,1,147,28,48,2963,15355,-9283,-92,-0.171121284365654,0.6705237030982971,0.7034287452697754,0.15141522884368896
-423,874,29,-343,101,-1,103,28,77,2963,15346,-9220,-112,-0.17059282958507538,0.6745638251304626,0.699900209903717,0.15041856467723846
-404,889,26,-343,101,-1,97,44,57,2963,15415,-9179,-116,-0.16628529131412506,0.6780407428741455,0.6983012557029724,0.14699582755565643
-404,871,6,-343,101,-1,56,18,7,2963,15484,-9131,-115,-0.16224679350852966,0.6816447973251343,0.6962230801582336,0.1446830779314041
-411,872,14,-343,101,-1,31,22,28,2963,15431,-9117,-93,-0.163478821516037,0.681583821773529,0.6951615214347839,0.14863112568855286
-409,877,24,-335,100,0,32,11,9,2963,15439,-9145,-71,-0.16191330552101135,0.67912757396698,0.6978045105934143,0.14920590817928314
-424,873,29,-335,100,0,44,1,9,2963,15417,-9159,-60,-0.16345049440860748,0.6783329248428345,0.6978049874305725,0.15112607181072235
-423,874,22,-335,100,0,27,12,2,2963,15412,-9130,-70,-0.16391941905021667,0.6799858808517456,0.6960031390190125,0.15149807929992676
-431,856,31,-337,111,0,39,39,1,2963,15401,-9141,-62,-0.1649026870727539,0.6783060431480408,0.6970590353012085,0.15311463177204132
-428,860,45,-337,111,0,93,56,71,2963,15301,-9209,-49,-0.1702589988708496,0.6732048392295837,0.6997969150543213,0.15720690786838531
-444,886,58,-333,108,-3,169,85,93,2963,15367,-9255,-79,-0.1696568727493286,0.6716339588165283,0.702730655670166,0.1513853818178177
-418,888,0,-333,108,-3,191,81,133,2963,15376,-9204,-133,-0.17034372687339783,0.6769529581069946,0.6982433795928955,0.14763888716697693
-388,895,-47,-333,108,-3,149,59,93,2963,15465,-9100,-171,-0.16575513780117035,0.6848655343055725,0.6928332448005676,0.14173871278762817
-406,884,-29,-333,108,-3,62,74,55,2963,15523,-9005,-182,-0.1619478166103363,0.6910624504089355,0.6879727244377136,0.13972166180610657
-399,884,-87,-334,105,-3,-82,67,28,2963,15530,-8924,-191,-0.1612795740365982,0.6961310505867004,0.6830497980117798,0.13948854804039001
-316,730,-174,-334,105,-3,-497,66,-108,2963,15575,-8899,-196,-0.15847720205783844,0.6973130106925964,0.6831432580947876,0.13631300628185272
-395,881,-195,-334,105,-3,-851,213,-23,2963,15536,-9029,-206,-0.16370047628879547,0.6879253387451172,0.6913853287696838,0.13630244135856628
-369,792,95,-336,103,0,-549,111,119,2963,15509,-9260,-187,-0.16568344831466675,0.6733120083808899,0.7052784562110901,0.13568653166294098
-328,876,100,-336,103,0,-317,-176,8,2963,15552,-9398,-132,-0.16089852154254913,0.6650199294090271,0.7144007682800293,0.13461098074913025
-299,875,21,-337,106,-2,-273,-309,-112,2963,15614,-9473,-103,-0.15667855739593506,0.6618614792823792,0.7187107801437378,0.1321762353181839
